name,legal_name,website,description,company_type,ownership_status,founded_year,employee_count_range,annual_revenue_range,headquarters_country,headquarters_city,headquarters_state_province,stock_ticker,stock_exchange,tags
Pfizer,Pfizer Inc.,https://www.pfizer.com,Global pharmaceutical and biotechnology corporation,Pharma,Public,1849,10000+,1B+,United States,New York,New York,PFE,NYSE,pharma;vaccines;oncology
Johnson & Johnson,Johnson & Johnson,https://www.jnj.com,American multinational corporation for medical devices and pharmaceuticals,Pharma,Public,1886,10000+,1B+,United States,New Brunswick,New Jersey,JNJ,NYSE,pharma;medtech;consumer-health
Roche,F. Hoffmann-La Roche AG,https://www.roche.com,Swiss multinational healthcare company in pharmaceuticals and diagnostics,Pharma,Public,1896,10000+,1B+,Switzerland,Basel,,ROG,SIX,pharma;diagnostics;oncology
Novartis,Novartis AG,https://www.novartis.com,Swiss multinational pharmaceutical corporation,Pharma,Public,1996,10000+,1B+,Switzerland,Basel,,NVS,NYSE,pharma;generics;oncology
AstraZeneca,AstraZeneca PLC,https://www.astrazeneca.com,British-Swedish multinational pharmaceutical and biotechnology company,Pharma,Public,1999,10000+,1B+,United Kingdom,Cambridge,,AZN,LSE,pharma;oncology;respiratory
Moderna,Moderna Inc.,https://www.modernatx.com,Biotechnology company pioneering mRNA therapeutics and vaccines,Biotech,Public,2010,5001-10000,10-50B,United States,Cambridge,Massachusetts,MRNA,NASDAQ,biotech;mRNA;vaccines
Medtronic,Medtronic plc,https://www.medtronic.com,Global leader in medical technology services and solutions,MedTech,Public,1949,10000+,1B+,Ireland,Dublin,,MDT,NYSE,medtech;devices;cardiac
Teladoc Health,Teladoc Health Inc.,https://www.teladochealth.com,Multinational telemedicine and virtual healthcare company,Health IT,Public,2002,1001-5000,100-500M,United States,Purchase,New York,TDOC,NYSE,telehealth;digital-health
IQVIA,IQVIA Holdings Inc.,https://www.iqvia.com,Leading global provider of clinical research services and healthcare analytics,CRO,Public,2016,10000+,1B+,United States,Durham,North Carolina,IQV,NYSE,CRO;analytics;real-world-data
Tempus AI,Tempus AI Inc.,https://www.tempus.com,Technology company advancing precision medicine through AI and data science,Health IT,Public,2015,1001-5000,500M-1B,United States,Chicago,Illinois,TEM,NASDAQ,AI;precision-medicine;diagnostics
Illumina,Illumina Inc.,https://www.illumina.com,Global leader in DNA sequencing and array-based technologies,Biotech,Public,1998,5001-10000,1B+,United States,San Diego,California,ILMN,NASDAQ,genomics;sequencing;diagnostics
Veeva Systems,Veeva Systems Inc.,https://www.veeva.com,Cloud computing company focused on pharmaceutical and life sciences applications,Health IT,Public,2007,5001-10000,1B+,United States,Pleasanton,California,VEEV,NYSE,cloud;life-sciences;CRM
BioNTech,BioNTech SE,https://www.biontech.de,Biotechnology company developing mRNA-based therapies,Biotech,Public,2008,1001-5000,1B+,Germany,Mainz,,BNTX,NASDAQ,biotech;mRNA;immunotherapy
Catalent,Catalent Inc.,https://www.catalent.com,Global leader in enabling biopharma and consumer health partners,CDMO,Private,2007,10000+,1B+,United States,Somerset,New Jersey,,,CDMO;drug-delivery;biologics
Oscar Health,Oscar Health Inc.,https://www.hioscar.com,Health insurance company using technology to make health insurance simple,Payer,Public,2012,1001-5000,1B+,United States,New York,New York,OSCR,NYSE,insurance;digital-health;payer
